Prefix,Level,Semester,Competency,Standard.Measure,Standard.Pedagogy,Form,QNT1,QNT2,QNT3,QNT4,Order,Race/Ethnicity,Gender,PELL
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,0,NA,1,Black or African American,F,Y
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,0,NA,1,White,M,Y
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,0,NA,1,White,F,Y
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,0,NA,1,White,F,N
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,0,NA,1,White,F,N
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,1,NA,1,Multiracial,F,Y
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,1,NA,1,Black or African American,M,N
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,2,NA,1,White,F,Y
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,2,NA,1,White,M,Y
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,2,NA,1,White,M,Y
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,2,NA,1,Black or African American,F,N
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,2,NA,1,White,F,N
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,3,NA,1,White,M,Y
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,3,NA,1,White,F,Y
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,4,NA,1,Black or African American,M,Y
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,4,NA,1,White,F,N
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,4,NA,1,White,F,N
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,4,NA,1,White,M,Y
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,4,NA,1,White,F,Y
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,4,NA,1,White,F,N
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,4,NA,1,White,M,N
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,4,NA,1,White,F,N
MATH,100,Fall 2017,Quantitative Literacy,1: a selected response exam,1: face-to-face lecture,SCORE,NA,NA,4,NA,1,White,M,Y
